varID,var5_6a,var5_6,var5_7,var5_8,var5_9,var5_10,var5_10a,var5_11,var5_12,var5_13,var5_14,var5_15,var5_16,var5_17,var5_18,var5_19,var5_20,var5_21
3703030109,a21,1.4,1.4,1,1.4,4,,1,250,是,20,350,是,5,1.4,否,.,.
3703030109,b2,1.4,1.4,1,1.4,4,,0.5,170,是,20,238,否,,.,否,.,.
3703030110,a1,1.5,1.5,2,1.5,4,,2,350,否,0,525,是,3,1.5,否,.,.
3703030110,a21,.8,.8,1,.8,4,,2,500,否,0,400,是,3,.8,否,.,.
3703030110,b2,.7,.7,1,.7,4,,2,300,否,0,210,是,3,.7,否,.,.
3703030111,a1,6.5,6.5,4,5.1,4,,3,300,否,0,1950,是,9999,6.5,否,.,.
3703030111,b2,6.5,6.5,4,5.1,4,,3,250,否,0,1625,是,9999,6.5,否,.,.
3703030112,a1,3,3,2,3,4,,1.5,400,否,0,1200,是,9999,3,否,.,.
3703030112,a21,3,3,2,3,4,,1.5,500,否,0,1500,是,9999,3,否,.,.
3703030201,a1,5,4,4,4.1,4,,0.91,350,是,10,1575,是,9999,5,是,9999,9999
3703030201,a21,.8,.8,1,.8,4,,0.5,450,是,9999,360,是,9999,.8,是,9999,9999
3703030202,a1,5,5,1,5,4,,2,400,否,0,2000,否,,.,否,.,.
3703030202,a21,4.7,4.7,1,4.7,4,,2,400,否,0,1880,否,,.,否,.,.
3703030203,a1,4,4,4,3.2,4,,0.7,250,否,0,1000,否,,.,否,.,.
3703030203,a21,2,2,1,2,4,,0.7,300,是,9999,600,否,,.,否,.,.
3703030203,b2,4,4,3,4,4,,0.3,300,否,0,1200,否,,.,否,.,.
3703030204,a1,2,2,1,2,2,,0.5,500,否,0,1000,是,3,2,否,.,.
3703030204,a21,2,2,1,2,2,,0.5,450,否,0,900,是,3,2,否,.,.
3703030205,a1,55,5,20,15,2,,1,350,否,0,19250,是,10,55,否,.,.
3703030205,a21,10,5,1,10,2,,1,450,否,0,4500,是,10,10,否,.,.
3703030205,b2,45,0,19,13,2,,1,350,否,0,15750,是,10,45,否,.,.
3703030206,a1,5,5,4,4.3,4,,0.5,350,否,0,1750,是,9999,5,否,.,.
3703030207,a1,2,2,1,2,4,,0.5,450,否,0,900,否,,.,,.,.
3703030207,b2,2,2,1,2,4,,0.5,300,否,0,600,否,,.,,.,.
3703030208,,.,.,.,.,,,,,,.,,,,.,,.,.
3703030209,,.,.,.,.,,,,,,.,,,,.,,.,.
3703030210,a1,3,3,2,3,4,,0.5,350,否,0,1050,是,9999,3,否,.,.
3703030210,b2,3,3,2,3,4,,0.5,250,否,0,750,是,9999,3,否,.,.
3703030211,b2,1.5,1.5,1,1.5,2,,0.2,200,否,0,300,否,,.,,.,.
3703030211,a1,1.5,1.5,1,1.5,2,,0.2,300,否,0,450,是,3,1.5,否,.,.
3703030212,a1,2.2,3,2,2.2,2,,1,500,否,0,1100,否,,.,否,.,.
3703030212,b2,.8,3,2,.8,4,,1,250,否,0,200,否,,.,否,.,.
3703010101,a1,1.2,1.2,1,1.2,1,,1.2,400,否,0,480,是,3,1.2,否,.,.
3703010101,a21,1.2,1.2,1,1.2,1,,1.2,500,否,0,600,是,3,1.2,否,.,.
3703010101,b2,.5,.5,1,.5,1,,1.2,150,否,0,75,是,3,.5,否,.,.
3703010102,a21,2,2,1,2,3,,0.5,500,否,0,1000,是,3,2,否,.,.
3703010102,a1,2,2,1,2,3,,0.5,450,否,0,900,是,3,2,否,.,.
3703010102,b2,1,1,1,1,3,,0.25,200,否,0,200,是,3,1,否,.,.
3703010103,a1,3.2,3.2,2,2.4,3,,0.5,300,否,0,960,是,3,3.2,否,.,.
3703010103,a21,3,3,2,2.4,3,,0.5,400,否,0,1200,是,3,3,否,.,.
3703010103,b2,.5,.5,1,.,3,,0.5,150,否,0,150,否,,.,,.,.
3703010104,a1,2.6,2.6,2,1.5,3,,0.25,500,否,0,1300,是,4,2.6,否,.,.
3703010104,a21,2.6,2.6,2,1.5,3,,0.25,450,是,11,1170,是,4,2.6,否,.,.
3703010105,,.,.,.,.,,,,,,.,,,,.,,.,.
3703010106,a1,3,3,1,3,1,,0.5,300,否,0,900,是,9999,3,否,.,.
3703010106,a2,3,3,1,3,1,,0.5,300,否,0,900,是,9999,3,否,.,.
3703010107,a1,2,2,2,2,3,,1.25,400,否,0,800,是,3.5,2,否,.,.
3703010107,a21,2,2,2,2,3,,1.25,400,否,0,800,是,3.5,2,否,.,.
3703010108,a1,1.5,1.5,1,1.5,4,,1,400,否,0,600,否,,.,否,.,.
3703010108,a21,1.5,1.5,1,1.5,4,,1,400,否,0,600,否,,.,否,.,.
3703010109,a1,3,3,4,3.8,4,,0.5,350,否,0,1050,是,3,3,否,.,.
3703010109,a21,3,3,4,3.8,4,,0.5,400,否,0,1200,是,1.6,3,否,.,.
3703010110,a1,1.3,1.3,1,1.3,3,,1,500,否,0,650,是,3.6,1.3,否,.,.
3703010110,a21,1.3,1.3,1,1.3,3,,1,500,否,0,650,是,3.6,1.3,否,.,.
3703010111,,.,.,.,.,,,,,,.,,,,.,,.,.
3703010112,a1,2.5,2.5,1,4.5,3,,0.6,500,是,50,1250,是,3,2.5,否,.,.
3703010112,a21,2.5,2.5,1,4.5,3,,0.6,350,是,50,875,是,3.6,2.5,否,.,.
3703010201,a1,.9,.9,1,.9,4,,0.1,400,否,0,360,是,3,1.4,否,.,.
3703010201,a21,.9,.9,1,.9,4,,0.1,500,否,0,450,否,,.,否,.,.
3703010201,b2,.5,.5,1,.5,4,,0.1,200,否,0,100,否,,.,否,.,.
3703010202,a1,2,2,2,1.7,4,,1.5,500,否,0,1000,否,,.,否,.,.
3703010202,a21,2,2,2,1.7,4,,1.5,500,否,0,1000,是,3.8,2,否,.,.
3703010203,a1,2,2,3,2,4,,1.5,450,否,0,900,否,,.,,.,.
3703010203,a21,2,2,3,2,4,,1.5,450,否,0,900,否,,.,,.,.
3703010203,b2,.5,.5,1,1,4,,1.5,400,否,0,200,否,,.,,.,.
3703010203,,.,.,.,.,,,,,,.,,,,.,,.,.
3703010204,a1,1,1,2,1,4,,1.5,300,是,33,300,是,3.5,1,否,.,.
3703010204,a21,1.5,1.5,3,1.5,4,,1.5,300,否,0,450,是,3.5,1.5,否,.,.
3703010204,b2,.5,.5,1,.5,4,,1.5,9999,否,0,150,否,,.,否,.,.
3703010205,a1,1.8,1.8,2,1.8,4,,1,400,否,0,720,是,3.5,1.8,否,.,.
3703010205,a21,1.8,1.8,2,1.8,4,,1,500,否,0,900,是,3.5,1.8,否,.,.
3703010205,,.,.,.,.,,,,,,.,,,,.,,.,.
3703010205,b2,.5,.5,1,.5,4,,0.5,250,否,0,125,是,3.5,.5,否,.,.
3703010206,a1,5,0,3,2,2,,2,500,否,0,2500,是,3,5,否,.,.
3703010206,a21,3,0,3,1.5,2,,2,500,否,0,1500,是,3,3,否,.,.
3703010206,b2,2,2,1,2,2,,2,300,否,0,600,是,3,2,否,.,.
3703010207,a1,2.7,1.5,4,1.2,4,,3,400,否,0,1080,否,,.,,.,.
3703010207,a21,2.7,1.5,4,1.2,4,,3,300,否,0,1080,否,,.,,.,.
3703010207,b2,2.7,1.5,4,1.2,4,,3,200,否,0,1080,否,,.,,.,.
3703010208,a1,3,1.5,5,1.2,4,,1.5,400,否,0,1200,是,3,3,否,.,.
3703010208,a21,3,1.5,5,1.2,4,,1.5,400,否,0,1200,是,2,3,否,.,.
3703010208,b2,.8,.3,2,.8,4,,1.5,200,否,0,160,否,,.,否,.,.
3703010209,a1,2,2,5,4.7,2,,1,400,否,0,800,是,3.6,2,否,.,.
3703010209,a21,2,2,5,4.7,2,,1,400,否,0,800,是,3.2,2,否,.,.
3703010210,a1,.94,.94,3,.94,4,,2,500,否,0,470,否,,.,,.,.
3703010210,a21,.94,.94,3,.94,4,,2,600,否,0,564,否,,.,,.,.
3703010211,b2,1.5,1.5,2,1.5,2,,2,300,否,0,450,是,4.8,1.5,是,600,9999
3703010212,a1,2,2,5,1.8,4,,1,450,否,0,900,否,,.,否,.,.
3703010212,a21,2,2,5,1.8,4,,1,500,否,0,1000,否,,.,否,.,.
3701030201,a1,10,10,3,10,1,,1.5,600,否,0,6000,是,10,10,否,.,.
3701030201,a21,10,10,3,10,1,,1.5,650,否,0,6500,是,10,10,否,.,.
3701030202,a21,6,6,2,5,3,,0.5,600,否,0,3600,是,2,6,否,.,.
3701030202,a1,6,6,2,5,3,,0.5,600,否,0,3600,是,2,6,否,.,.
3701030203,a1,10,10,3,10,1,,1,400,是,20,4000,否,,.,,.,.
3701030203,a21,10,10,3,10,1,,1,450,是,20,4500,否,,.,,.,.
3701030204,a1,62,0,6,47.8,2,,0.2,550,否,0,34100,是,9,62,是,9999,9999
3701030204,a21,62,0,6,47.8,2,,0.2,700,否,0,43400,是,9,62,是,9999,9999
3701030204,c17,6,6,1,47.8,2,,1,2500,否,0,15000,否,,.,,.,.
3701030205,,.,.,.,.,,,,,,.,,,,.,,.,.
3701030206,a1,9,8,3,9,2,,0.5,530,否,0,4770,是,9999,9,否,.,.
3701030206,a21,9,8,3,9,2,,0.5,550,是,10,5000,是,9999,9,否,.,.
3701030207,a1,7.2,7.2,3,7.2,2,,0.3,400,是,38,2880,是,7.3,7.2,是,1728,43.6
3701030207,a21,7.2,7.2,3,7.2,2,,0.3,550,否,0,3960,是,7.3,7.2,否,.,.
3701030208,a1,10,10,4,9.3,2,,1.5,500,否,0,5000,是,10,10,否,.,.
3701030208,a21,10,10,4,9.3,2,,1.5,600,否,0,6000,是,10,10,否,.,.
3701030209,a1,10.8,10.8,3,10.8,4,,0.5,550,是,30,5940,是,9999,10.8,否,.,.
3701030209,a21,10.8,10.8,3,10.8,4,,0.5,550,是,30,5940,是,9999,10.8,否,.,.
3701030210,a1,9,9,5,8.5,5,黄黑结合,0.5,500,是,30,4500,是,7.5,9,否,.,.
3701030210,a21,9,9,5,8.5,5,,0.5,560,是,10,5040,是,7.5,9,否,.,.
3701030211,a1,5.4,5.4,3,5.4,2,,1,500,否,0,2700,是,9999,5.4,否,.,.
3701030211,a21,5.4,5.4,3,5.4,2,,1,500,否,0,2700,是,9999,5.4,否,.,.
3701030212,a1,10,10,3,10,5,半沙半黏,0.5,500,否,0,5000,是,9999,10,是,9999,9999
3701030212,a21,10,10,3,10,5,半沙半黏,0.5,600,否,0,6000,是,9999,10,是,9999,9999
3701030101,a1,6,6,3,6,1,,0.5,400,否,0,2400,是,25,6,否,.,.
3701030101,a21,6,6,3,6,1,,0.5,500,是,30,3000,是,25,6,是,150,10
3701030102,a21,4,4,2,4,3,,1.6,500,是,50,2000,是,5,4,否,.,.
3701030102,a1,4,4,2,4,3,,1.6,500,否,0,2000,是,5,4,否,.,.
3701030103,a1,9,6,3,9,3,,1,500,否,0,4500,是,9999,9,否,.,.
3701030103,a21,9,6,3,9,3,,1,600,否,0,5400,是,9999,9,是,150,9999
3701030104,a1,2,2,1,2,1,,0.3,500,否,0,1000,否,,.,否,.,.
3701030104,a21,2,2,1,2,1,,0.3,500,是,0,1000,否,,.,否,.,.
3701030105,a1,4.8,4.8,2,4.8,3,,0.5,500,否,0,2500,是,7.2,4.8,否,.,.
3701030105,a2,4.8,4.8,2,4.8,3,,0.5,500,否,0,2500,是,7.2,4.8,否,.,.
3701030106,a1,6,6,2,6,3,,2,550,否,0,3300,否,,.,,.,.
3701030106,a21,6,6,2,6,3,,2,550,是,50,1650,否,,.,,.,.
3701030107,,.,.,.,.,,,,,,.,,,,.,,.,.
3701030108,,.,.,.,.,,,,,,.,,,,.,,.,.
3701030109,a1,7.2,7.2,3,7.2,2,,2,500,是,14,3000,是,3.4,7.2,是,9999,9999
3701030109,a21,7.2,7.2,3,7.2,2,,2,550,是,14,3500,是,3.4,7.2,是,9999,9999
3701030110,a1,4,4,2,4,1,,0.6,500,否,0,2000,是,9999,4,否,.,.
3701030110,a21,4,4,2,4,1,,0.6,600,否,0,2400,是,9999,4,否,.,.
3701030111,a1,10,10,2,10,5,红土,0.3,500,是,30,5000,是,7,10,是,400,10
3701030111,a21,10,10,2,10,5,红土,0.3,550,是,30,5500,是,7,10,是,1000,10
3701030112,a1,13,9,3,13,3,,2,500,否,0,6500,是,7,9,否,.,.
3701030112,a21,13,9,3,13,3,,2,600,否,0,7800,是,7,9,否,.,.
3701020201,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020202,c1,4,4,1,4,2,,0.1,2500,否,0,10000,是,9999,4,否,.,.
3701020202,c35、西葫芦,4,4,1,4,2,,0.1,2800,否,0,11200,是,9999,4,否,.,.
3701020202,a21,2,0,1,2,2,,1,450,否,0,900,是,9999,2,否,.,.
3701020202,a1,2,0,1,2,2,,1,600,否,0,1200,是,9999,2,否,.,.
3701020203,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020204,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020205,a1,10.5,10.5,2,10.5,1,,0.5,500,否,0,5250,是,9999,10.5,否,.,.
3701020205,a21,10.5,10.5,2,10.5,1,,0.5,600,否,0,6300,是,9999,10.5,否,.,.
3701020206,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020207,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020208,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020209,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020210,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020211,,.,.,.,.,,,,,,.,,,,.,,.,.
3701020212,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010201,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010202,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010203,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010204,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010205,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010206,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010207,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010208,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010209,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010210,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010211,,.,.,.,.,,,,,,.,,,,.,,.,.
