cluster,income_mean,income_median,income_std,var11_1_mean,var11_2_mean,var11_3_mean,var11_4_mean
0,88185.1081535135,50000.0,274432.61990906013,,,,
1,70241.05375,55680.0,57655.93156228586,,,,
2,85176.85419168591,51338.0,147696.11406414947,,,,
