varID,cluster,cluster_label
2301010101,2,3
2301010102,2,3
2301010103,0,1
2301010104,0,1
2301010105,0,1
2301010106,0,1
2301010107,0,1
2301010108,2,3
2301010109,0,1
2301010110,2,3
2301010111,2,3
2301010112,0,1
2301010201,0,1
2301010202,2,3
2301010203,2,3
2301010204,0,1
2301010205,2,3
2301010206,2,3
2301010207,2,3
2301010208,2,3
2301010209,0,1
2301010210,0,1
2301010211,0,1
2301010212,2,3
2301020101,0,1
2301020102,0,1
2301020103,2,3
2301020104,0,1
2301020105,2,3
2301020106,2,3
2301020107,2,3
2301020108,2,3
2301020109,2,3
2301020110,2,3
2301020111,0,1
2301020112,0,1
2301020201,0,1
2301020202,2,3
2301020203,2,3
2301020204,2,3
2301020205,2,3
2301020206,2,3
2301020207,2,3
2301020208,2,3
2301020209,1,2
2301020210,0,1
2301020211,0,1
2301020212,2,3
2301030101,0,1
2301030102,2,3
2301030103,0,1
2301030104,0,1
2301030105,0,1
2301030106,0,1
2301030107,0,1
2301030108,2,3
2301030109,2,3
2301030110,2,3
2301030111,0,1
2301030112,0,1
2301030113,0,1
2301030201,0,1
2301030202,2,3
2301030203,0,1
2301030204,2,3
2301030205,0,1
2301030206,2,3
2301030207,2,3
2301030208,2,3
2301030209,0,1
2301030210,2,3
2301030211,2,3
2301030212,2,3
2301040101,2,3
2301040102,2,3
2301040103,0,1
2301040104,2,3
2301040105,2,3
2301040106,0,1
2301040107,2,3
2301040108,0,1
2301040109,0,1
2301040110,2,3
2301040111,0,1
2301040112,1,2
2302010101,0,1
2302010102,0,1
2302010103,0,1
2302010104,2,3
2302010105,2,3
2302010106,0,1
2302010107,0,1
2302010109,2,3
2302010110,2,3
2302010111,0,1
2302010112,2,3
2302010201,2,3
2302010202,2,3
2302010203,2,3
2302010204,2,3
2302010205,0,1
2302010206,0,1
2302010207,2,3
2302010208,2,3
2302010209,0,1
2302010210,2,3
2302010211,2,3
2302010212,2,3
2302020101,0,1
2302020102,2,3
2302020103,0,1
2302020104,0,1
2302020105,0,1
2302020106,0,1
2302020107,0,1
2302020108,0,1
2302020109,0,1
2302020110,2,3
2302020111,0,1
2302020112,2,3
2302020201,0,1
2302020202,0,1
2302020203,2,3
2302020204,2,3
2302020205,2,3
2302020206,0,1
2302020207,2,3
2302020208,2,3
2302020209,2,3
2302020210,2,3
2302020211,0,1
2302020212,2,3
2302030101,0,1
2302030102,0,1
2302030103,0,1
2302030104,0,1
2302030105,0,1
2302030106,0,1
2302030107,0,1
2302030108,0,1
2302030109,2,3
2302030110,2,3
2302030111,2,3
2302030112,2,3
2302030201,2,3
2302030202,0,1
2302030203,2,3
2302030204,2,3
2302030205,2,3
2302030206,2,3
2302030207,2,3
2302030208,2,3
2302030209,2,3
2302030210,2,3
2302030211,2,3
2302030212,2,3
2303010101,0,1
2303010102,2,3
2303010103,0,1
2303010104,0,1
2303010105,0,1
2303010106,0,1
2303010107,0,1
2303010108,0,1
2303010109,0,1
2303010110,0,1
2303010111,2,3
2303010112,2,3
2303010201,0,1
2303010202,2,3
2303010203,0,1
2303010204,0,1
2303010205,2,3
2303010206,0,1
2303010207,2,3
2303010208,2,3
2303010209,0,1
2303010210,0,1
2303010211,0,1
2303010212,0,1
2303020101,2,3
2303020102,2,3
2303020103,0,1
2303020104,2,3
2303020105,0,1
2303020106,0,1
2303020107,2,3
2303020108,2,3
2303020109,0,1
2303020110,0,1
2303020111,0,1
2303020112,0,1
2303020201,2,3
2303020202,2,3
2303020203,0,1
2303020204,0,1
2303020205,0,1
2303020206,2,3
2303020207,2,3
2303020208,2,3
2303020209,2,3
2303020210,2,3
2303020211,0,1
2303020212,2,3
2303030101,2,3
2303030102,0,1
2303030103,0,1
2303030104,0,1
2303030105,2,3
2303030106,0,1
2303030107,0,1
2303030108,0,1
2303030109,2,3
2303030110,2,3
2303030111,0,1
2303030112,0,1
2303030201,0,1
2303030202,0,1
2303030203,0,1
2303030204,0,1
2303030205,0,1
2303030206,0,1
2303030207,0,1
2303030208,0,1
2303030209,0,1
2303030210,0,1
2303030211,0,1
2303030212,2,3
2304010101,0,1
2304010102,2,3
2304010103,0,1
2304010104,2,3
2304010105,2,3
2304010106,0,1
2304010107,2,3
2304010108,0,1
2304010109,0,1
2304010110,0,1
2304010111,2,3
2304010112,0,1
2304010201,2,3
2304010202,2,3
2304010203,2,3
2304010204,2,3
2304010205,2,3
2304010206,0,1
2304010207,2,3
2304010208,2,3
2304010209,0,1
2304010210,2,3
2304010211,2,3
2304010212,2,3
2304020101,2,3
2304020102,0,1
2304020103,0,1
2304020104,2,3
2304020105,2,3
2304020106,0,1
2304020107,2,3
2304020108,2,3
2304020109,2,3
2304020110,2,3
2304020111,2,3
2304020112,0,1
2304020201,2,3
2304020202,2,3
2304020203,2,3
2304020204,2,3
2304020205,2,3
2304020206,2,3
2304020207,2,3
2304020208,2,3
2304020209,0,1
2304020210,2,3
2304020211,2,3
2304020212,2,3
2304030101,2,3
2304030102,2,3
2304030103,2,3
2304030104,2,3
2304030105,0,1
2304030107,0,1
2304030108,2,3
2304030109,2,3
2304030110,2,3
2304030111,0,1
2304030112,2,3
2304030201,0,1
2304030202,0,1
2304030203,0,1
2304030204,2,3
2304030205,0,1
2304030206,2,3
2304030207,2,3
2304030208,0,1
2304030209,0,1
2304030210,0,1
2304030211,0,1
2304030212,2,3
2305010101,2,3
2305010102,0,1
2305010103,2,3
2305010104,0,1
2305010105,2,3
2305010106,0,1
2305010107,0,1
2305010108,0,1
2305010109,0,1
2305010110,0,1
2305010111,2,3
2305010112,0,1
2305010201,2,3
2305010202,0,1
2305010203,2,3
2305010204,0,1
2305010205,0,1
2305010206,0,1
2305010207,2,3
2305010208,2,3
2305010209,2,3
2305010210,0,1
2305010211,0,1
2305010212,2,3
2305020101,2,3
2305020102,0,1
2305020103,2,3
2305020104,2,3
2305020105,2,3
2305020106,0,1
2305020107,0,1
2305020108,0,1
2305020109,0,1
2305020110,2,3
2305020111,0,1
2305020112,2,3
2305020201,0,1
2305020202,0,1
2305020203,0,1
2305020204,2,3
2305020205,0,1
2305020206,0,1
2305020207,0,1
2305020208,2,3
2305020209,2,3
2305020210,2,3
2305020211,0,1
2305020212,0,1
2305030101,0,1
2305030102,2,3
2305030103,0,1
2305030104,2,3
2305030105,0,1
2305030106,2,3
2305030107,2,3
2305030108,2,3
2305030109,0,1
2305030110,2,3
2305030111,0,1
2305030112,2,3
2305030201,0,1
2305030202,0,1
2305030203,0,1
2305030204,0,1
2305030205,0,1
2305030206,0,1
2305030207,2,3
2305030208,0,1
2305030209,0,1
2305030210,2,3
2305030211,0,1
2305030212,0,1
3301010101,0,1
3301010102,0,1
3301010103,0,1
3301010104,0,1
3301010105,0,1
3301010106,0,1
3301010107,0,1
3301010108,0,1
3301010109,0,1
3301010110,0,1
3301010111,0,1
3301010112,0,1
3301010113,0,1
3301010114,0,1
3301010201,0,1
3301010202,0,1
3301010203,0,1
3301010204,0,1
3301010205,0,1
3301010206,0,1
3301010207,0,1
3301010208,2,3
3301010209,0,1
3301010210,0,1
3301020101,0,1
3301020102,0,1
3301020103,0,1
3301020104,0,1
3301020105,0,1
3301020106,0,1
3301020107,0,1
3301020108,0,1
3301020109,0,1
3301020110,0,1
3301020111,0,1
3301020112,0,1
3301020113,0,1
3301020114,0,1
3301020115,0,1
3301020201,0,1
3301020202,1,2
3301020203,0,1
3301020204,0,1
3301020205,0,1
3301020206,0,1
3301020207,2,3
3301020208,0,1
3301020209,0,1
3301020210,0,1
3301020211,0,1
3301020212,0,1
3301020213,0,1
3301030101,0,1
3301030102,0,1
3301030103,0,1
3301030104,0,1
3301030105,0,1
3301030106,0,1
3301030107,0,1
3301030108,0,1
3301030109,0,1
3301030110,0,1
3301030111,0,1
3301030112,0,1
3301030113,0,1
3301030114,0,1
3301030201,0,1
3301030202,0,1
3301030203,0,1
3301030204,0,1
3301030205,0,1
3301030206,0,1
3301030207,0,1
3301030208,0,1
3301030209,0,1
3301030210,0,1
3301030211,0,1
3301030212,0,1
3301040101,0,1
3301040102,0,1
3301040103,0,1
3301040104,0,1
3301040106,0,1
3301040107,0,1
3301040108,0,1
3301040109,0,1
3301040110,0,1
3301040111,0,1
3301040112,0,1
3301040113,0,1
3301040114,0,1
3302010101,0,1
3302010102,0,1
3302010103,0,1
3302010104,0,1
3302010105,0,1
3302010106,0,1
3302010107,0,1
3302010108,0,1
3302010109,0,1
3302010110,0,1
3302010111,0,1
3302010112,0,1
3302010113,0,1
3302010114,0,1
3302010201,0,1
3302010202,0,1
3302010203,0,1
3302010204,0,1
3302010205,2,3
3302010206,0,1
3302010207,0,1
3302010208,0,1
3302010209,0,1
3302010210,0,1
3302010211,0,1
3302010212,0,1
3302010213,0,1
3302010214,0,1
3302020101,0,1
3302020102,0,1
3302020103,0,1
3302020104,0,1
3302020105,0,1
3302020106,0,1
3302020107,0,1
3302020108,0,1
3302020109,0,1
3302020110,0,1
3302020111,0,1
3302020112,0,1
3302020113,0,1
3302020114,0,1
3302020115,0,1
3302020201,0,1
3302020202,0,1
3302020203,0,1
3302020204,0,1
3302020205,0,1
3302020206,0,1
3302020207,0,1
3302020208,2,3
3302020209,0,1
3302020210,2,3
3302020211,2,3
3302020212,0,1
3302020213,0,1
3302030101,0,1
3302030102,0,1
3302030103,0,1
3302030104,0,1
3302030105,0,1
3302030106,2,3
3302030107,0,1
3302030108,0,1
3302030109,0,1
3302030110,0,1
3302030111,0,1
3302030112,0,1
3302030113,0,1
3302030114,0,1
3302030201,0,1
3302030202,0,1
3302030203,0,1
3302030204,0,1
3302030205,0,1
3302030206,0,1
3302030207,0,1
3302030208,0,1
3302030209,0,1
3302030210,0,1
3302030211,0,1
3302030212,0,1
3302030213,0,1
3302030214,0,1
3303010101,0,1
3303010102,0,1
3303010103,0,1
3303010104,0,1
3303010105,0,1
3303010106,0,1
3303010107,0,1
3303010108,0,1
3303010109,0,1
3303010110,0,1
3303010111,0,1
3303010112,0,1
3303010113,0,1
3303010114,0,1
3303010115,0,1
3303010201,0,1
3303010202,0,1
3303010203,2,3
3303010204,0,1
3303010205,0,1
3303010206,0,1
3303010207,0,1
3303010208,0,1
3303010209,0,1
3303010210,0,1
3303010211,0,1
3303010212,0,1
3303020101,0,1
3303020102,0,1
3303020103,0,1
3303020104,0,1
3303020105,0,1
3303020106,0,1
3303020107,0,1
3303020108,0,1
3303020109,0,1
3303020110,0,1
3303020111,0,1
3303020112,0,1
3303020113,0,1
3303020114,0,1
3303020201,0,1
3303020202,0,1
3303020203,0,1
3303020204,0,1
3303020205,0,1
3303020206,2,3
3303020207,0,1
3303020208,2,3
3303020209,0,1
3303020210,0,1
3303020211,0,1
3303020212,0,1
3303020213,0,1
3303020214,0,1
3303030101,0,1
3303030102,0,1
3303030103,0,1
3303030104,0,1
3303030105,0,1
3303030106,0,1
3303030107,0,1
3303030108,0,1
3303030109,0,1
3303030110,0,1
3303030111,0,1
3303030112,0,1
3303030113,0,1
3303030201,0,1
3303030202,0,1
3303030203,0,1
3303030204,0,1
3303030205,0,1
3303030206,0,1
3303030207,0,1
3303030208,0,1
3303030209,0,1
3303030210,2,3
3303030211,0,1
3303030212,0,1
3303030213,2,3
3304010101,0,1
3304010102,0,1
3304010103,0,1
3304010104,0,1
3304010105,0,1
3304010106,0,1
3304010107,0,1
3304010108,0,1
3304010109,0,1
3304010110,0,1
3304010111,0,1
3304010112,0,1
3304010113,0,1
3304010114,0,1
3304010201,0,1
3304010202,2,3
3304010203,0,1
3304010204,0,1
3304010205,0,1
3304010206,0,1
3304010207,0,1
3304010208,0,1
3304010209,0,1
3304010211,0,1
3304010212,0,1
3304010213,0,1
3304010214,0,1
3304020101,0,1
3304020102,0,1
3304020103,0,1
3304020104,0,1
3304020105,0,1
3304020106,2,3
3304020108,0,1
3304020109,0,1
3304020110,0,1
3304020111,0,1
3304020112,0,1
3304020201,0,1
3304020202,0,1
3304020203,0,1
3304020204,0,1
3304020205,0,1
3304020206,0,1
3304020207,0,1
3304020208,0,1
3304020209,0,1
3304020210,0,1
3304020211,0,1
3304020212,0,1
3304020213,2,3
3304020214,0,1
3304030101,0,1
3304030102,0,1
3304030103,0,1
3304030104,0,1
3304030105,0,1
3304030106,0,1
3304030107,0,1
3304030108,0,1
3304030109,0,1
3304030110,0,1
3304030111,0,1
3304030112,0,1
3304030113,0,1
3304030114,0,1
3304030201,0,1
3304030202,0,1
3304030203,0,1
3304030204,0,1
3304030205,0,1
