,count,count,row_pct,row_pct
member,0.0,1.0,0.0,1.0
cluster,,,,
0,2132,682,0.757640369580668,0.24235963041933192
1,15,9,0.625,0.375
2,689,207,0.7689732142857143,0.23102678571428573
