varID,cluster,cluster_label,land_area,plot_num,tillage_mech_ratio,chem_fert_kg_per_mu,organic_fert_buy,irrigated_area_ratio,mobile_hours_per_day,can_get_info_online,organic_fert_total,internet_training,e_commerce,ag_insurance,bank_credit_user,applied_bank_loan,trade_credit,safe_drinking_water,garbage_sorting,garbage_central_treatment,sanitary_toilet,health_knowledge_learning,has_checkup,straw_utilized,pesticide_pack_safe,diet_control_score
2301010101,2,3,4.703128949300426,4.464125798194195,0.3279024485992584,-0.0507673406201565,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.2396457606079399,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010102,2,3,2.871551426724457,1.7143249835858834,0.3279024485992584,-0.2731715405916524,-0.1405331721881049,-2.370572787663085,3.057055700191225,-0.3872327767445778,-0.2396457606079399,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2301010103,0,1,1.5283945768354128,0.247764549128117,0.3279024485992584,-0.4214410072393164,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,-0.3872327767445778,-0.2396457606079399,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2301010104,0,1,0.7957635678050253,0.0644444948208962,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,-1.6063107982343376,-0.2396457606079399,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2301010105,0,1,0.8568161518908909,0.247764549128117,0.3279024485992584,0.1716368593513394,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,-1.6063107982343376,-0.2396457606079399,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010106,0,1,0.5515532314615628,0.6144046577425586,0.3279024485992584,0.0975021260275074,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.2396457606079399,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2301010107,0,1,-0.4252881139122873,-1.0354758310224286,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.2396457606079399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010108,2,3,4.703128949300426,0.6144046577425586,0.3279024485992584,-0.1990368072678204,0.0087799491896113,-2.1834581818212757,-0.7842554978792702,0.8318452447451818,-0.2252218944023563,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2301010109,0,1,-0.3153934625577291,-0.3021956137935453,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.2396457606079399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2301010110,2,3,0.6003952987302553,0.0644444948208962,0.3279024485992584,-0.4955757405631484,-0.1405331721881049,-2.370572787663085,-0.7842554978792702,-0.3872327767445778,-0.2396457606079399,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2301010111,2,3,0.1022062125895917,-0.3021956137935453,0.3279024485992584,-0.2731715405916524,-0.1405331721881049,-2.370572787663085,-0.3040915981204582,0.8318452447451818,-0.2396457606079399,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2301010112,0,1,-0.4252881139122873,-0.3021956137935453,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,0.8318452447451818,-0.2396457606079399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2301010201,0,1,0.869026668708064,0.4310846034353378,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,0.4347436417493552,0.6562362013971657,0.8318452447451818,-0.2396457606079399,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2301010202,2,3,1.235342173223258,0.247764549128117,0.3279024485992584,0.0233673927036754,-0.1405331721881049,-2.370572787663085,-0.7842554978792702,-1.6063107982343376,-0.2396457606079399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2301010203,2,3,3.604182435754845,0.0644444948208962,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,-2.370572787663085,1.1364001011559777,0.8318452447451818,-0.2396457606079399,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2301010204,0,1,-0.4252881139122873,-1.0354758310224286,0.3279024485992584,-0.1990368072678204,-0.1405331721881049,0.4347436417493552,-0.3040915981204582,-1.6063107982343376,-0.2396457606079399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
